arm,model_name,reliability,mean_entity_f1,count_accuracy_rate,field_value_accuracy,format_core_ok_rate,true_hallucination_answer_rate,research_score_deterministic,mean_completeness,mean_correctness,mean_company_grounding,mean_usefulness,mean_factual_faithfulness,mean_evidence_grounding,mean_deepeval_mean,deepeval_core_mean,deepeval_traceability
parametric,kb_web,1.0,0.1037,0.4,0.2954,0.0,0.0952,0.3114,0.0,0.0071,0.5595,0.1167,0.0238,0.0,0.1179,0.1708,
parametric,base,1.0,0.0732,0.0,0.3219,0.0,0.2143,0.2098,0.0,0.0,0.4524,0.1381,0.0548,0.0,0.1075,0.1476,
parametric,kb_only,0.9762,0.0507,0.0,0.2879,0.0,0.119,0.2029,0.0048,0.0095,0.4524,0.069,0.0833,0.019,0.1064,0.1339,
direct_context,qwen3.6:35b-a3b,1.0,0.8131,0.7778,0.8272,1.0,0.0,0.8455,0.5714,0.6952,0.9714,0.9143,0.8095,0.95,0.8186,0.7881,0.8798
direct_context,qwen3:30b,1.0,0.7659,0.5,0.7811,1.0,0.0,0.7618,0.3357,0.4857,0.9929,0.9381,0.7357,0.9405,0.7381,0.6881,0.8381
batchwise_map_reduce,qwen2.5:14b,1.0,0.5287,0.2222,0.7038,1.0,0.0,0.5879,0.2429,0.3071,0.9524,0.9262,0.6226,0.9119,0.6605,0.6072,0.7672
batchwise_map_reduce,gemma3:12b,1.0,0.5039,0.2222,0.7703,1.0,0.0,0.5867,0.1643,0.219,0.9381,0.7333,0.4357,0.669,0.5266,0.5137,0.5524
direct_context,deepseek-r1:32b,1.0,0.442,0.1944,0.6252,1.0,0.0238,0.5292,0.1238,0.1452,0.9071,0.8524,0.3286,0.6262,0.4972,0.5071,0.4774
direct_context,mistral-small3.2:24b,1.0,0.3193,0.1944,0.5221,1.0,0.0,0.4609,0.0786,0.1,0.981,0.75,0.2667,0.5,0.446,0.4774,0.3833
direct_context,gemma3:27b,1.0,0.2627,0.1111,0.677,1.0,0.0714,0.4349,0.0071,0.0429,0.7607,0.6286,0.1083,0.2595,0.3012,0.3598,0.1839
